payroll_id,emp_id,period,working_days,days_present,basic,hra,da,gross,pf,tds,net,status
1,1,Jan-2026,27,25,45000,13500,7650,67650,1800,,65850,Paid
2,2,Jan-2026,27,27,125000,50000,22500,202500,1800,25500,,Paid
3,3,Jan-2026,27,26,65000,19500,11050,96850,1800,5600,89450,Paid
4,4,Jan-2026,27,27,30000,3000,4500,37500,1800,,35700,Paid
5,5,Jan-2026,27,25,38000,7600,6460,53460,1800,,51660,Paid
6,6,Jan-2026,27,24,28000,2800,4200,34200,1800,,32400,Paid
7,7,Jan-2026,27,,88000,33440,15840,,1800,5200,,Draft
8,8,Jan-2026,27,26,72000,21600,12240,107640,1800,3500,102340,Paid
9,9,Jan-2026,27,20,44000,13200,7480,65000,1800,,63200,Paid
10,10,Jan-2026,27,27,95000,38000,17100,151300,1800,14400,135100,Paid
