dept,count,gross,net,tds,pf,avg_net
Human Resources,3,299650.0,269780.0,23870.0,5400.0,89926.67
Information Technology,5,1276234.81,1023400.07,242834.74000000002,9000.0,204680.01
Customer Support,2,78350.0,74350.0,0.0,3600.0,37175.0
Sales & Marketing,3,408941.1,349716.26999999996,53224.83,5400.0,116572.09
Finance & Accounts,3,712546.66,564595.33,141951.33,5400.0,188198.44
Data Science & Analytics,2,231314.82,214700.93,12613.89,3600.0,107350.46
Operations,2,417202.23,343261.56,69940.67,3600.0,171630.78
Research & Development,3,724334.81,602813.22,115521.59,5400.0,200937.74
Quality Assurance,2,140070.0,133845.66999999998,2224.33,3600.0,66922.83
DevOps & Platform Eng,2,234425.93,217074.07,13351.86,3600.0,108537.04
Cyber Security,2,239794.07,221908.3,13885.77,3600.0,110954.15
Corporate Strategy,1,50744.44,48744.44,0.0,1800.0,48744.44
